seed 40,seed 50,seed 60,seed 70,seed 80
2.2702972160062878,3.6718629244641745,2.0674809601818303,1.7402636015564905,14.608900407213824
1.130693872646087,1.1037643275363633,0.38167548922067196,2.653120021885565,0.4534785457534061
3.309562050380466,1.1546680508890907,2.64402420904972,1.2615366045147145,0.7667804565392882
3.6852868541484134,2.113169657118701,2.2232160747781773,1.5397628886662935,1.19659187530825
2.468465166776538,1.3858989121180858,4.671140402085696,2.977688139856425,3.602286646019881
3.5645414630491463,1.6526826669484351,1.9223292885936234,2.0531185320448877,1.1764762430838998
0.9312488305950665,2.262401410244488,5.136682474408433,-0.3065569613811519,6.733913130437662
1.1998505340464265,1.734952181536022,-0.553957236786023,3.263057267020548,3.8928470945341735
2.971908625750682,1.049054340565154,2.2833024545916887,0.6667235273223642,1.3394346941995752
1.7978782482165467,1.2483716112897592,0.6206913006834053,0.8490517485662188,1.7333545159095922
